,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Cases,Tot Cases/1M pop,Death/1M pop,Total Tests,Tests/1M pop,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Region
79,Sudan,11780,0,763,0,6194,0,4823,0,268,17,401,9,43943536,3730,57593,109585,Africa
80,North Macedonia,11399,0,517,0,7480,0,3402,3,5471,248,109946,52773,2083365,183,4030,19,Europe
81,Senegal,10887,172,225,2,7186,85,3476,39,649,13,116472,6940,16783876,1542,74595,144,Africa
82,Norway,9468,0,256,0,8857,0,355,3,1745,47,472841,87152,5425471,573,21193,11,Europe
83,DRC,9355,46,218,3,8174,126,963,0,104,2,0,0,89802184,9599,411937,0,Africa
84,Malaysia,9063,25,125,0,8728,15,210,2,280,4,991333,30591,32406372,3576,259251,33,Asia
85,French Guiana,8127,0,47,0,7240,0,840,23,27146,157,41412,138324,299385,37,6370,7,South America
86,Gabon,7787,0,51,0,5609,0,2127,11,3491,23,85369,38272,2230563,286,43737,26,Africa
87,Tajikistan,7665,0,62,0,6443,0,1160,0,802,6,0,0,9557468,1247,154153,0,Asia
88,Guinea,7664,0,49,0,6757,0,858,24,582,4,14407,1094,13164905,1718,268672,914,Africa
89,Haiti,7582,38,171,0,4832,0,2579,0,664,15,18501,1621,11416103,1506,66761,617,North America
90,Finland,7554,22,331,0,6980,0,243,0,1363,60,398554,71920,5541604,734,16742,14,Europe
91,Zambia,7486,322,200,1,6264,478,1022,0,406,11,92341,5010,18430128,2462,92151,200,Africa
92,Luxembourg,7073,0,119,0,5750,0,1204,9,11282,190,623994,995282,626952,89,5269,1,Europe
93,Mauritania,6444,0,157,0,5291,0,996,3,1383,34,57387,12313,4660728,723,29686,81,Africa
94,Paraguay,6375,0,66,0,4974,0,1335,23,893,9,135277,18943,7141091,1120,108198,53,South America
95,Albania,6016,0,188,0,3155,0,2673,23,2091,65,38997,13553,2877470,478,15306,74,Europe
96,Lebanon,5672,0,70,0,1974,0,3628,46,831,10,345268,50609,6822220,1203,97460,20,Asia
97,Croatia,5466,62,155,0,4758,70,553,7,1332,38,126410,30812,4102577,751,26468,32,Europe
98,Djibouti,5334,4,59,0,5066,9,209,0,5391,60,59909,60552,989387,185,16769,17,Africa
99,Greece,5123,0,210,0,1374,0,3539,14,492,20,619393,59456,10417673,2034,49608,17,Europe
100,Libya,4879,0,107,0,652,0,4120,0,709,16,59699,8677,6880353,1410,64302,115,Africa
101,Equatorial Guinea,4821,0,83,0,2182,0,2556,0,3426,59,44356,31525,1407001,292,16952,32,Africa
102,Maldives,4680,0,19,0,2725,0,1936,12,8643,35,85587,158071,541448,116,28497,6,Asia
103,Hungary,4621,24,602,2,3464,1,555,8,478,62,355467,36806,9657785,2090,16043,27,Europe
104,CAR,4620,0,59,0,1641,0,2920,2,955,12,29589,6116,4837752,1047,81996,163,Africa
105,Malawi,4491,0,137,0,2137,0,2217,4,234,7,33466,1745,19174840,4270,139962,573,Africa
106,Zimbabwe,4395,56,97,13,1264,0,3034,0,295,7,144490,9708,14883803,3387,153441,103,Africa
107,Hong Kong,3939,89,46,0,2620,162,1273,41,525,6,692430,92287,7503041,1905,163110,11,Asia
108,Nicaragua,3902,0,123,0,2913,0,866,0,588,19,0,0,6632263,1700,53921,0,North America
109,Congo,3546,0,58,0,1589,0,1899,0,641,10,0,0,5530506,1560,95354,0,Africa
110,Montenegro,3480,0,60,0,2178,0,1242,0,5541,96,38427,61182,628074,180,10468,16,Europe
111,Thailand,3345,15,58,0,3148,0,139,1,48,0,749213,10731,69817896,20872,1203757,93,Asia
112,Somalia,3227,0,93,0,1728,0,1406,2,203,6,0,0,15933012,4937,171323,0,Africa
113,Mayotte,3042,0,39,0,2738,0,265,2,11126,143,13000,47546,273419,90,7011,21,Africa
114,Eswatini,2968,0,55,0,1476,0,1437,10,2556,47,27428,23617,1161348,391,21115,42,Africa
115,Sri Lanka,2839,0,11,0,2541,0,287,1,133,0,166737,7783,21422362,7546,1947487,128,Asia
116,Cuba,2775,0,88,0,2409,0,278,4,245,8,285471,25205,11325899,4081,128703,40,North America
117,Cabo Verde,2734,0,27,0,2010,0,697,0,4912,49,61633,110735,556581,204,20614,9,Africa
118,Namibia,2652,0,15,0,563,0,2074,24,1042,6,29233,11485,2545264,960,169684,87,Africa
119,Mali,2552,0,124,0,1954,0,474,0,126,6,25152,1239,20302900,7956,163733,807,Africa
120,Slovakia,2523,43,31,2,1846,22,646,7,462,6,274795,50330,5459915,2164,176126,20,Europe
