,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Cases,Tot Cases/1M pop,Death/1M pop,Total Tests,Tests/1M pop,Population,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,Region,Date
1723,India,2483567,23954,48367,223,1770682,20046,664518,8944,1798,35,27694416,20045,1381604224,556,28565,50,Asia,2020-08-13
1724,Russia,912823,5065,15498,114,722964,6568,174361,2300,6255,106,31903056,218601,145942112,160,9417,5,Europe,2020-08-13
1725,South Africa,572865,0,11270,0,437617,0,123978,539,9645,190,3315497,55820,59395868,104,5270,18,Africa,2020-08-13
1726,Peru,507996,0,25648,0,348006,0,134342,1525,15382,777,2677014,81060,33025106,65,1288,12,South America,2020-08-13
1727,Mexico,505751,7371,55293,627,341507,4872,108951,3675,3918,428,1142045,8847,129092048,255,2335,113,North America,2020-08-13
1728,Colombia,433805,0,14145,0,250494,0,169166,1493,8515,278,2063332,40500,50946628,117,3602,25,South America,2020-08-13
1729,Chile,380034,0,10299,0,353131,0,16604,1259,19860,538,1932592,100994,19135648,50,1858,10,South America,2020-08-13
1730,Spain,355856,0,28605,0,0,0,0,617,7611,612,7472031,159806,46756992,131,1635,6,Europe,2020-08-13
1731,Iran,338825,2501,19331,169,293811,1753,25683,3956,4028,230,2812488,33435,84118184,248,4351,30,Asia,2020-08-13
1732,UK,313798,0,41347,0,0,0,0,80,4620,609,18868566,277770,67928832,216,1643,4,Europe,2020-08-13
1733,Saudi Arabia,295902,1383,3338,35,262959,2566,29605,1782,8484,96,4071857,116751,34876296,118,10448,9,Asia,2020-08-13
1734,Pakistan,287300,626,6153,14,265215,1155,15932,774,1298,28,2229409,10071,221378016,771,35979,99,Asia,2020-08-13
1735,Argentina,276072,0,5362,0,192434,0,78276,1682,6102,119,911596,20148,45244808,164,8438,50,South America,2020-08-13
1736,Bangladesh,271881,2766,3591,34,156623,1752,111667,0,1649,22,1328757,8059,164882752,606,45916,124,Asia,2020-08-13
1737,Italy,252235,0,35231,0,202923,0,14081,55,4173,583,7420764,122757,60450872,240,1716,8,Europe,2020-08-13
1738,Turkey,245635,0,5912,0,228057,0,11666,647,2909,70,5521880,65390,84445680,344,14284,15,Asia,2020-08-13
1739,Germany,222487,218,9283,2,200800,0,12404,224,2654,111,8586648,102446,83816368,377,9029,10,Europe,2020-08-13
1740,France,209365,0,30388,0,83472,0,95505,379,3207,465,5500000,84238,65291060,312,2149,12,Europe,2020-08-13
1741,Iraq,164277,0,5641,0,117208,0,41428,592,4074,140,1224909,30377,40323328,245,7148,33,Asia,2020-08-13
1742,Philippines,153660,6216,2442,16,71405,1038,79813,461,1400,22,1974976,17995,109750616,714,44943,56,Asia,2020-08-13
1743,Indonesia,135123,2307,6021,53,89618,2060,39484,0,493,22,1835505,6702,273863648,2027,45485,149,Asia,2020-08-13
1744,Canada,121234,0,9015,0,107553,0,4666,2291,3209,239,4635105,122682,37781344,312,4191,8,North America,2020-08-13
1745,Qatar,114532,251,190,0,111258,301,3084,71,40791,68,542518,193218,2807805,25,14778,5,Asia,2020-08-13
1746,Kazakhstan,101848,476,1269,0,78633,1877,21946,221,5417,67,2252153,119777,18802960,185,14817,8,Asia,2020-08-13
1747,Ecuador,98343,0,6010,0,78957,0,13376,355,5564,340,276491,15644,17673952,180,2941,64,South America,2020-08-13
1748,Bolivia,96459,1388,3884,57,33720,890,58855,71,8250,332,205423,17570,11691504,121,3010,57,South America,2020-08-13
1749,Egypt,96108,0,5107,0,56890,0,34111,41,937,50,135000,1316,102553496,1067,20081,760,Africa,2020-08-13
1750,Israel,90472,650,657,6,66151,1405,23664,377,9836,71,2052630,223170,9197590,102,13999,4,Asia,2020-08-13
1751,Ukraine,87872,1732,2011,19,46797,581,39064,138,2011,46,1252842,28669,43700860,497,21731,35,Europe,2020-08-13
1752,China,84786,30,4634,0,79462,64,690,39,59,3,90410000,62814,1439323776,16976,310601,16,Asia,2020-08-13
1753,Sweden,84294,0,5783,7,0,0,0,31,8340,572,917036,90735,10106798,120,1748,11,Europe,2020-08-13
1754,Dominican Republic,83134,0,1393,0,47946,0,33795,303,7655,128,308187,28376,10860727,131,7797,35,North America,2020-08-13
1755,Oman,82743,212,557,6,77427,149,4759,153,16158,109,309212,60382,5120938,62,9194,17,Asia,2020-08-13
1756,Panama,78446,0,1722,0,52210,0,24514,158,18148,398,261350,60462,4322582,55,2510,17,North America,2020-08-13
1757,Belgium,76191,544,9916,16,17913,30,48362,74,6571,855,1924348,165954,11595701,152,1169,6,Europe,2020-08-13
1758,Kuwait,74486,0,489,0,66099,0,7898,118,17412,114,548005,128102,4277867,57,8748,8,Asia,2020-08-13
1759,Belarus,69308,105,603,4,66452,274,2253,0,7335,64,1402346,148413,9448942,136,15670,7,Europe,2020-08-13
1760,Romania,68046,1415,2904,44,31920,373,33222,473,3540,151,1478056,76896,19221582,282,6619,13,Europe,2020-08-13
1761,UAE,63819,330,359,1,57473,101,5987,0,6444,36,5851453,590795,9904364,155,27589,2,Asia,2020-08-13
1762,Netherlands,61840,636,6167,2,0,0,0,59,3608,360,1195475,69750,17139480,277,2779,14,Europe,2020-08-13
1763,Guatemala,60284,0,2296,0,48305,0,9683,5,3358,128,193147,10758,17953246,298,7819,93,North America,2020-08-13
1764,Singapore,55580,83,27,0,50736,0,4817,0,9491,5,1610906,275095,5855811,105,216882,4,Asia,2020-08-13
1765,Poland,55319,832,1858,14,38362,401,15099,79,1462,49,2307735,60984,37841512,684,20367,16,Europe,2020-08-13
1766,Portugal,53548,0,1770,0,39177,0,12601,39,5253,174,1799226,176515,10193027,190,5759,6,Europe,2020-08-13
1767,Japan,51147,0,1063,0,36134,0,13950,203,405,8,1085322,8584,126428488,2472,118936,116,Asia,2020-08-13
1768,Honduras,49042,385,1542,9,7032,87,40468,37,4942,155,120181,12112,9922719,202,6435,83,North America,2020-08-13
1769,Nigeria,48116,0,966,0,34309,0,12841,7,233,5,341421,1652,206704320,4296,213980,605,Africa,2020-08-13
1770,Bahrain,45726,0,167,0,42180,0,3379,40,26775,98,944798,553223,1707806,37,10226,2,Asia,2020-08-13
1771,Ghana,41847,122,223,0,39718,223,1906,6,1344,7,416988,13388,31145912,744,139668,75,Africa,2020-08-13
1772,Kyrgyzstan,41373,304,1491,4,33592,304,6290,24,6329,228,267718,40957,6536539,158,4384,24,Asia,2020-08-13
1773,Armenia,41299,276,814,5,34164,267,6321,0,13934,275,181962,61392,2963917,72,3641,16,Asia,2020-08-13
1774,Morocco,37935,0,584,0,26687,0,10664,31,1026,16,1538520,41625,36961724,974,63291,24,Africa,2020-08-13
1775,Switzerland,37671,268,1991,0,32700,0,2980,26,4349,230,868886,100308,8662161,230,4351,10,Europe,2020-08-13
1776,Afghanistan,37431,7,1363,0,26714,0,9354,31,959,35,97791,2506,39026256,1043,28633,399,Asia,2020-08-13
1777,Algeria,37187,0,1341,0,26004,0,9842,44,846,31,0,0,43941244,1182,32768,0,Africa,2020-08-13
1778,Azerbaijan,34018,103,504,4,31490,221,2024,0,3352,50,820002,80788,10149989,298,20139,12,Asia,2020-08-13
1779,Uzbekistan,33821,498,220,4,27825,612,5776,410,1009,7,1377915,41101,33525308,991,152388,24,Asia,2020-08-13
1780,Venezuela,30369,0,259,0,21385,0,8725,81,1068,9,1618708,56945,28425964,936,109753,18,South America,2020-08-13
1781,Moldova,29483,396,884,6,20556,280,8043,362,7311,219,128076,31759,4032804,137,4562,31,Europe,2020-08-13
1782,Kenya,29334,580,465,5,15298,198,13571,44,544,9,381317,7074,53903864,1838,115922,141,Africa,2020-08-13
1783,Serbia,29233,235,665,4,26117,0,2451,78,3347,76,789480,90402,8732995,299,13132,11,Europe,2020-08-13
1784,Ireland,26929,0,1774,0,23364,0,1791,6,5447,359,687699,139091,4944255,184,2787,7,Europe,2020-08-13
1785,Ethiopia,26204,0,479,0,11428,0,14297,193,227,4,550119,4772,115278368,4399,240665,210,Africa,2020-08-13
1786,Costa Rica,26129,0,272,0,8412,0,17445,95,5124,53,112960,22151,5099619,195,18749,45,North America,2020-08-13
1787,Nepal,25551,594,99,4,17077,240,8375,0,875,3,807015,27641,29196522,1143,294914,36,Asia,2020-08-13
1788,Austria,22876,282,725,0,20499,153,1652,19,2538,80,1003432,111337,9012558,394,12431,9,Europe,2020-08-13
1789,Australia,22743,385,375,14,13350,349,9018,47,891,15,5179725,202852,25534520,1123,68092,5,Australia/Oceania,2020-08-13
1790,El Salvador,22314,321,595,11,10455,201,11264,448,3438,92,273509,42142,6490138,291,10908,24,North America,2020-08-13
1791,Czechia,19401,0,391,0,13574,0,5436,24,1811,37,775991,72445,10711398,552,27395,14,Europe,2020-08-13
1792,Cameroon,18308,0,401,0,15320,0,2587,30,688,15,149000,5598,26618864,1454,66381,179,Africa,2020-08-13
1793,Ivory Coast,16889,0,107,0,13522,0,3260,0,639,4,111132,4202,26450480,1566,247201,238,Africa,2020-08-13
1794,Palestine,15834,343,106,0,9382,196,6346,0,3096,21,214862,42009,5114614,323,48251,24,Asia,2020-08-13
1795,Bosnia and Herzegovina,15535,351,469,11,9344,188,5722,0,4739,143,159613,48688,3278262,211,6990,21,Europe,2020-08-13
1796,Denmark,15379,165,621,0,13216,85,1542,1,2654,107,1869782,322673,5794668,377,9331,3,Europe,2020-08-13
1797,S. Korea,14873,103,305,0,13863,46,705,14,290,6,1665084,32474,51274572,3447,168113,31,Asia,2020-08-13
1798,Bulgaria,14069,0,484,0,8901,0,4684,63,2027,70,324851,46796,6941860,493,14343,21,Europe,2020-08-13
1799,Madagascar,13643,121,164,2,12011,231,1468,89,491,6,50969,1835,27769368,2035,169325,545,Africa,2020-08-13
1800,North Macedonia,12357,0,532,0,8662,0,3163,6,5931,255,120950,58055,2083364,169,3916,17,Europe,2020-08-13
1801,Sudan,12162,47,793,1,6325,20,5044,0,277,18,401,9,43963168,3615,55439,109634,Africa,2020-08-13
1802,Senegal,11872,132,249,5,7615,43,4008,55,707,15,127506,7593,16792344,1414,67439,132,Africa,2020-08-13
1803,Norway,9887,36,261,4,8857,0,769,2,1822,48,530446,97755,5426280,549,20790,10,Europe,2020-08-13
1804,DRC,9605,16,238,4,8512,32,855,0,107,3,0,0,89854496,9355,377540,0,Africa,2020-08-13
1805,Malaysia,9149,20,125,0,8828,7,196,4,282,4,1095768,33805,32414304,3543,259314,30,Asia,2020-08-13
1806,Zambia,8663,0,246,0,7401,0,1016,0,470,13,96610,5239,18440014,2129,74959,191,Africa,2020-08-13
1807,French Guiana,8471,0,51,0,7784,0,636,17,28281,170,43758,146087,299533,35,5873,7,South America,2020-08-13
1808,Paraguay,8389,0,97,0,5516,0,2776,36,1174,14,146284,20480,7142766,851,73637,49,South America,2020-08-13
1809,Guinea,8198,0,50,0,7120,0,1028,24,622,4,14407,1094,13171742,1607,263435,914,Africa,2020-08-13
1810,Gabon,8077,0,51,0,5920,0,2106,9,3619,23,96203,43110,2231571,276,43756,23,Africa,2020-08-13
1811,Tajikistan,7950,0,63,0,6741,0,1146,0,831,7,0,0,9561575,1203,151771,0,Asia,2020-08-13
1812,Haiti,7810,29,192,0,5123,0,2495,0,684,17,18933,1658,11418761,1462,59473,603,North America,2020-08-13
1813,Lebanon,7711,0,92,0,2496,0,5123,44,1130,13,392839,57587,6821638,885,74148,17,Asia,2020-08-13
1814,Finland,7700,17,333,0,7050,0,317,0,1389,60,453576,81847,5541768,720,16642,12,Europe,2020-08-13
1815,Luxembourg,7368,0,122,0,6414,0,832,1,11748,195,667333,1064077,627147,85,5141,1,Europe,2020-08-13
1816,Libya,7050,0,135,0,816,0,6099,0,1024,20,73226,10640,6882140,976,50979,94,Africa,2020-08-13
1817,Albania,6971,0,213,0,3616,0,3142,20,2423,74,42854,14893,2877410,413,13509,67,Europe,2020-08-13
1818,Mauritania,6653,0,157,0,5843,0,653,3,1427,34,58147,12470,4663073,701,29701,80,Africa,2020-08-13
1819,Greece,6381,0,221,0,3804,0,2356,22,613,21,687338,65984,10416704,1632,47134,15,Europe,2020-08-13
1820,Croatia,6258,208,163,2,5134,56,961,10,1526,40,134742,32847,4102095,655,25166,30,Europe,2020-08-13
1821,Maldives,5494,0,21,0,2920,0,2553,12,10143,39,93098,171885,541631,99,25792,6,Asia,2020-08-13
1822,Djibouti,5358,0,59,0,5167,0,132,0,5414,60,62341,62992,989661,185,16774,16,Africa,2020-08-13
1823,Zimbabwe,4990,0,128,0,1927,0,2935,0,335,9,149748,10058,14887943,2984,116312,99,Africa,2020-08-13
1824,Malawi,4912,0,153,0,2550,0,2209,4,256,8,37746,1968,19184324,3906,125388,508,Africa,2020-08-13
1825,Hungary,4853,40,607,0,3590,29,656,6,503,63,372687,38591,9657317,1990,15910,26,Europe,2020-08-13
1826,Equatorial Guinea,4821,0,83,0,2182,0,2556,0,3424,59,44356,31505,1407888,292,16963,32,Africa,2020-08-13
1827,CAR,4652,0,61,0,1728,0,2863,2,961,13,29930,6185,4839360,1040,79334,162,Africa,2020-08-13
1828,Hong Kong,4361,48,67,2,3392,97,902,30,581,9,780415,103997,7504203,1721,112003,10,Asia,2020-08-13
1829,Nicaragua,4115,0,128,0,2913,0,1074,0,620,19,0,0,6633770,1612,51826,0,North America,2020-08-13
1830,Montenegro,3857,0,73,0,2680,0,1104,0,6141,116,41235,65653,628076,163,8604,15,Europe,2020-08-13
1831,Congo,3745,0,60,0,1625,0,2060,0,677,11,0,0,5533111,1477,92219,0,Africa,2020-08-13
1832,Eswatini,3599,0,65,0,1991,0,1543,10,3098,56,28380,24432,1161577,323,17870,41,Africa,2020-08-13
1833,Namibia,3544,0,27,0,848,0,2669,14,1392,11,37797,14845,2546145,718,94302,67,Africa,2020-08-13
1834,Thailand,3376,17,58,0,3173,4,145,1,48,0,749213,10730,69821232,20682,1203814,93,Asia,2020-08-13
1835,Somalia,3227,0,93,0,1728,0,1406,2,202,6,0,0,15941525,4940,171414,0,Africa,2020-08-13
1836,Cuba,3174,0,89,0,2525,0,560,6,280,8,314499,27768,11325767,3568,127256,36,North America,2020-08-13
1837,Mayotte,3119,0,39,0,2940,0,140,1,11402,143,13000,47524,273545,88,7014,21,Africa,2020-08-13
1838,Cabo Verde,3073,0,33,0,2232,0,808,0,5520,59,61633,110712,556696,181,16870,9,Africa,2020-08-13
1839,Sri Lanka,2882,0,11,0,2658,12,213,1,135,0,166737,7783,21424076,7434,1947643,128,Asia,2020-08-13
1840,Slovakia,2801,62,31,0,1944,5,826,6,513,6,289590,53039,5459965,1949,176128,19,Europe,2020-08-13
1841,Suriname,2761,0,40,0,1830,0,891,12,4702,68,4449,7576,587254,213,14681,132,South America,2020-08-13
1842,Mozambique,2638,0,19,0,1015,0,1604,0,84,0,73479,2344,31350776,11884,1650041,427,Africa,2020-08-13
1843,Mali,2597,0,125,0,1979,0,493,0,128,6,29837,1469,20314102,7822,162513,681,Africa,2020-08-13
1844,South Sudan,2478,0,47,0,1175,0,1256,0,221,4,12044,1074,11209081,4523,238491,931,Africa,2020-08-13
1845,Slovenia,2369,37,129,0,2027,67,213,3,1140,62,141879,68245,2078973,878,16116,15,Europe,2020-08-13
1846,Lithuania,2352,22,81,0,1691,2,580,6,866,30,570657,210001,2717400,1155,33548,5,Europe,2020-08-13
1847,Rwanda,2200,0,8,0,1558,0,634,0,169,0,319295,24584,12987705,5904,1623463,41,Africa,2020-08-13
1848,Estonia,2177,3,63,0,1976,1,138,1,1641,47,132270,99703,1326644,609,21058,10,Europe,2020-08-13
1849,Guinea-Bissau,2088,0,29,0,1015,0,1044,5,1058,15,1500,760,1973169,945,68040,1315,Africa,2020-08-13
1850,Benin,2014,0,38,0,1681,0,295,0,166,3,101987,8388,12158070,6037,319949,119,Africa,2020-08-13
1851,Iceland,1983,7,10,0,1861,9,112,1,5807,29,174244,510219,341508,172,34151,2,Europe,2020-08-13
1852,Sierra Leone,1940,0,69,0,1496,0,375,0,243,9,0,0,7995277,4121,115874,0,Africa,2020-08-13
1853,Yemen,1847,0,528,0,949,0,370,0,62,18,120,4,29899488,16188,56628,249162,Asia,2020-08-13
1854,Tunisia,1847,0,53,0,1302,0,492,9,156,4,108823,9196,11833164,6407,223267,109,Africa,2020-08-13
1855,Angola,1815,0,80,0,577,0,1158,20,55,2,64747,1963,32975946,18169,412199,509,Africa,2020-08-13
1856,Gambia,1623,67,50,7,304,37,1269,0,670,21,6157,2540,2424057,1494,48481,394,Africa,2020-08-13
1857,New Zealand,1602,13,22,0,1531,0,49,1,320,4,524414,104839,5002100,3122,227368,10,Australia/Oceania,2020-08-13
1858,Syria,1432,0,55,0,395,0,982,0,82,3,0,0,17547756,12254,319050,0,Asia,2020-08-13
1859,Uruguay,1409,0,37,0,1180,0,192,5,405,11,138700,39912,3475186,2466,93924,25,South America,2020-08-13
1860,Uganda,1385,32,12,1,1142,1,231,0,30,0,312792,6815,45895612,33138,3824634,147,Africa,2020-08-13
1861,Jordan,1320,0,11,0,1222,0,87,3,129,1,672344,65819,10215074,7739,928643,15,Asia,2020-08-13
1862,Latvia,1308,1,32,0,1078,0,198,0,694,17,222531,118145,1883540,1440,58861,8,Europe,2020-08-13
1863,Georgia,1306,23,17,0,1085,17,204,0,327,4,283789,71157,3988222,3054,234601,14,Asia,2020-08-13
1864,Cyprus,1305,0,20,0,870,0,415,5,1080,17,239630,198303,1208406,926,60420,5,Asia,2020-08-13
1865,Malta,1276,31,9,0,762,54,505,0,2889,20,152087,344333,441686,346,49076,3,Europe,2020-08-13
1866,Liberia,1252,0,82,0,738,0,432,0,247,16,0,0,5070898,4050,61840,0,Africa,2020-08-13
1867,Burkina Faso,1228,0,54,0,997,0,177,0,59,3,0,0,20965856,17073,388257,0,Africa,2020-08-13
1868,Botswana,1214,0,3,0,120,0,1091,1,515,1,87280,37030,2356985,1942,785662,27,Africa,2020-08-13
1869,Niger,1161,0,69,0,1075,0,17,0,48,3,9052,373,24298294,20929,352149,2684,Africa,2020-08-13
1870,Togo,1104,0,26,0,791,0,287,2,133,3,50884,6130,8300303,7518,319242,163,Africa,2020-08-13
1871,Bahamas,1089,0,15,0,138,0,936,1,2766,38,7242,18395,393688,362,26246,54,North America,2020-08-13
1872,Jamaica,1071,6,14,0,754,1,303,1,361,5,45279,15283,2962724,2766,211623,65,North America,2020-08-13
1873,Andorra,981,0,53,0,858,0,70,1,12694,686,3750,48525,77280,79,1458,21,Europe,2020-08-13
1874,Chad,949,0,76,0,860,0,13,0,58,5,0,0,16477017,17363,216803,0,Africa,2020-08-13
1875,Vietnam,929,18,21,0,437,12,471,0,10,0,621823,6381,97442208,104889,4640105,157,Asia,2020-08-13
1876,Aruba,894,0,4,0,114,0,776,0,8369,37,14047,131500,106821,119,26705,8,North America,2020-08-13
1877,Lesotho,884,0,25,0,271,0,588,0,412,12,11097,5175,2144267,2426,85771,193,Africa,2020-08-13
1878,Sao Tome and Principe,883,0,15,0,808,0,60,0,4021,68,3211,14621,219622,249,14641,68,Africa,2020-08-13
1879,Réunion,754,0,5,0,631,0,118,4,841,6,35419,39527,896074,1188,179215,25,Africa,2020-08-13
1880,Diamond Princess,712,0,13,0,651,0,48,4,0,0,0,0,0,0,0,0,,2020-08-13
1881,San Marino,699,0,42,0,657,0,0,0,20595,1237,6068,178786,33940,49,808,6,Europe,2020-08-13
1882,Guyana,631,0,22,0,202,0,407,5,802,28,5638,7164,787009,1247,35773,140,South America,2020-08-13
1883,Channel Islands,603,0,47,0,545,0,11,0,3464,270,52055,299077,174052,289,3703,3,Europe,2020-08-13
1884,Tanzania,509,0,21,0,183,0,305,7,8,0,0,0,59919056,117719,2853288,0,Africa,2020-08-13
1885,Taiwan,481,0,7,0,450,0,24,0,20,0,84249,3537,23822020,49526,3403146,283,Asia,2020-08-13
1886,Burundi,410,0,1,0,315,0,94,0,34,0,17306,1451,11929018,29095,11929018,689,Africa,2020-08-13
1887,Trinidad and Tobago,404,0,8,0,139,0,257,0,289,6,12430,8878,1400036,3465,175005,113,North America,2020-08-13
1888,Comoros,399,0,7,0,379,0,13,0,458,8,0,0,871681,2185,124526,0,Africa,2020-08-13
1889,Myanmar,369,0,6,0,321,0,42,0,7,0,130539,2397,54453352,147570,9075559,417,Asia,2020-08-13
1890,Guadeloupe,367,0,14,0,289,0,64,4,917,35,21269,53155,400132,1090,28581,19,North America,2020-08-13
1891,Faeroe Islands,362,0,0,0,225,0,137,0,7405,0,65948,1349044,48885,135,0,1,Europe,2020-08-13
1892,Belize,356,60,2,0,32,0,322,3,893,5,4688,11766,398450,1119,199225,85,North America,2020-08-13
1893,Mauritius,344,0,10,0,334,0,0,0,270,8,205285,161384,1272025,3698,127203,6,Africa,2020-08-13
1894,Martinique,336,0,16,0,98,0,222,2,895,43,12227,32585,375229,1117,23452,31,North America,2020-08-13
1895,Isle of Man,336,0,24,0,312,0,0,0,3949,282,9004,105821,85087,253,3545,9,Europe,2020-08-13
1896,Mongolia,297,0,0,0,269,0,28,1,90,0,42533,12950,3284355,11058,0,77,Asia,2020-08-13
1897,Eritrea,285,0,0,0,248,0,37,0,80,0,0,0,3552114,12464,0,0,Africa,2020-08-13
1898,Cambodia,273,1,0,0,225,2,48,1,16,0,77380,4621,16745802,61340,0,216,Asia,2020-08-13
1899,Papua New Guinea,271,0,3,0,78,0,190,0,30,0,11920,1329,8966255,33086,2988752,752,Australia/Oceania,2020-08-13
1900,Sint Maarten,263,15,17,0,102,0,144,3,6126,396,1637,38129,42933,163,2525,26,North America,2020-08-13
1901,Turks and Caicos,258,17,2,0,52,6,204,3,6653,52,1631,42060,38778,150,19389,24,North America,2020-08-13
1902,Gibraltar,205,0,0,0,188,0,17,0,6085,0,26053,773316,33690,164,0,1,Europe,2020-08-13
1903,Cayman Islands,203,0,1,0,202,0,0,0,3085,15,32212,489455,65812,324,65812,2,North America,2020-08-13
1904,Bermuda,159,0,9,0,145,0,5,0,2554,145,31021,498337,62249,392,6917,2,North America,2020-08-13
1905,Barbados,144,0,7,0,118,0,19,0,501,24,13657,47516,287418,1996,41060,21,North America,2020-08-13
1906,Monaco,144,0,4,0,114,0,26,4,3666,102,38209,972858,39275,273,9819,1,Europe,2020-08-13
1907,Brunei,142,0,3,0,138,0,1,0,324,7,43312,98892,437973,3084,145991,10,Asia,2020-08-13
1908,French Polynesia,139,0,0,0,64,0,75,1,494,0,6525,23212,281103,2022,0,43,Australia/Oceania,2020-08-13
1909,Bhutan,128,0,0,0,100,0,28,0,166,0,56207,72750,772605,6036,0,14,Asia,2020-08-13
1910,Seychelles,127,0,0,0,126,0,1,0,1290,0,0,0,98420,775,0,0,Africa,2020-08-13
1911,Antigua and Barbuda,93,1,3,0,83,7,7,1,949,31,1780,18159,98025,1054,32675,55,North America,2020-08-13
1912,Saint Martin,92,0,4,0,45,0,43,1,2375,103,1899,49018,38741,421,9685,20,North America,2020-08-13
1913,Liechtenstein,90,0,1,0,87,0,2,0,2360,26,900,23597,38141,424,38141,42,Europe,2020-08-13
1914,St. Vincent Grenadines,57,0,0,0,55,0,2,0,514,0,2649,23869,110983,1947,0,42,North America,2020-08-13
1915,Macao,46,0,0,0,46,0,0,0,71,0,4071,6260,650363,14138,0,160,Asia,2020-08-13
1916,Curaçao,32,0,1,0,30,0,1,0,195,6,1080,6578,164174,5130,164174,152,North America,2020-08-13
1917,Fiji,28,0,1,0,20,0,7,0,31,1,6693,7460,897219,32044,897219,134,Australia/Oceania,2020-08-13
1918,Saint Lucia,25,0,0,0,25,0,0,0,136,0,4465,24302,183728,7349,0,41,North America,2020-08-13
1919,Timor-Leste,25,0,0,0,24,0,1,0,19,0,4238,3207,1321293,52852,0,312,Asia,2020-08-13
1920,Grenada,24,0,0,0,23,0,1,0,213,0,6252,55531,112586,4691,0,18,North America,2020-08-13
1921,New Caledonia,23,0,0,0,22,0,1,0,80,0,11265,39413,285822,12427,0,25,Australia/Oceania,2020-08-13
1922,Laos,22,2,0,0,19,0,3,0,3,0,33001,4528,7287770,331262,0,221,Asia,2020-08-13
1923,Dominica,18,0,0,0,18,0,0,0,250,0,1005,13957,72008,4000,0,72,North America,2020-08-13
1924,Saint Kitts and Nevis,17,0,0,0,17,0,0,0,319,0,1312,24641,53244,3132,0,41,North America,2020-08-13
1925,Greenland,14,0,0,0,14,0,0,0,247,0,6275,110510,56782,4056,0,9,North America,2020-08-13
1926,Montserrat,13,0,1,0,12,0,0,0,2604,200,61,12220,4992,384,4992,82,North America,2020-08-13
1927,Falkland Islands,13,0,0,0,13,0,0,0,3724,0,2256,646233,3491,269,0,2,South America,2020-08-13
1928,St. Barth,13,0,0,0,8,0,5,0,1316,0,1612,163141,9881,760,0,6,North America,2020-08-13
1929,Caribbean Netherlands,13,0,0,0,7,0,6,0,495,0,424,16151,26252,2019,0,62,North America,2020-08-13
1930,Vatican City,12,0,0,0,12,0,0,0,14981,0,0,0,801,67,0,0,Europe,2020-08-13
1931,Western Sahara,10,0,1,0,8,0,1,0,17,2,0,0,598964,59896,598964,0,Africa,2020-08-13
1932,MS Zaandam,9,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,,2020-08-13
1933,British Virgin Islands,9,0,1,0,7,0,1,0,297,33,1522,50306,30255,3362,30255,20,North America,2020-08-13
1934,Saint Pierre Miquelon,4,0,0,0,1,0,3,0,691,0,0,0,5790,1448,0,0,North America,2020-08-13
1935,Anguilla,3,0,0,0,3,0,0,0,200,0,537,35755,15019,5006,0,28,North America,2020-08-13
1936,USA,5476266,60600,171535,1120,2875147,32106,2429584,17217,16532,518,69362008,209397,331245760,60,1931,5,North America,2020-08-14
1937,Brazil,3278895,49274,106571,1007,2384302,27662,788022,8318,15412,501,13464336,63288,212747792,65,1996,16,South America,2020-08-14
1938,India,2525222,65609,49134,990,1807556,56920,668532,8944,1828,36,27694416,20044,1381678336,547,28121,50,Asia,2020-08-14
1939,Russia,912823,5065,15498,114,722964,6568,174361,2300,6255,106,31903056,218600,145942464,160,9417,5,Europe,2020-08-14
1940,South Africa,579140,6275,11556,286,461734,24117,105850,539,9750,195,3351111,56416,59399952,103,5140,18,Africa,2020-08-14
1941,Peru,516296,8300,25856,208,354232,6226,136208,1553,15632,783,2705122,81905,33027616,64,1277,12,South America,2020-08-14
1942,Mexico,505751,7371,55293,627,341507,4872,108951,3675,3918,428,1142045,8846,129099448,255,2335,113,North America,2020-08-14
1943,Colombia,445111,11306,14492,347,261296,10802,169323,1493,8736,284,2104766,41311,50949592,114,3516,24,South America,2020-08-14
1944,Chile,382111,2077,10340,41,355037,1906,16734,1252,19968,540,1960210,102433,19136544,50,1851,10,South America,2020-08-14
1945,Spain,358843,2987,28617,12,0,0,0,617,7675,612,7472031,159805,46757092,130,1634,6,Europe,2020-08-14
1946,Iran,338825,2501,19331,169,293811,1753,25683,3956,4028,230,2812488,33433,84124056,248,4352,30,Asia,2020-08-14
1947,UK,316367,1440,41358,11,0,0,0,80,4657,609,14142736,208193,67930784,215,1643,5,Europe,2020-08-14
1948,Saudi Arabia,295902,1383,3338,35,262959,2566,29605,1782,8484,96,4071857,116741,34879260,118,10449,9,Asia,2020-08-14
1949,Pakistan,287300,626,6153,14,265215,1155,15932,774,1298,28,2229409,10070,221401504,771,35983,99,Asia,2020-08-14
1950,Argentina,282437,6365,5527,165,199005,6571,77905,1718,6242,122,930097,20556,45247072,160,8187,49,South America,2020-08-14
1951,Bangladesh,271881,2766,3591,34,156623,1752,111667,0,1649,22,1328757,8058,164891712,606,45918,124,Asia,2020-08-14
1952,Italy,252809,574,35388,3,203326,403,14095,56,4182,585,7467487,123531,60450392,239,1708,8,Europe,2020-08-14
1953,Turkey,246861,1226,5934,22,228980,923,11947,656,2923,70,5592072,66217,84450632,342,14232,15,Asia,2020-08-14
